sgRNA	Gene	T0_1	T0_2	Tend_1	Tend_2
0Safe_safe_ACOC_204550.4590__HSP90B1_2	0Safe_safe_ACOC__HSP90B1	264	262	295	381
0Safe_safe_ACOC_204550.4590__HSP90B1_3	0Safe_safe_ACOC__HSP90B1	106	137	149	229
0Safe_safe_ACOC_204550.4590__HSP90B1_4	0Safe_safe_ACOC__HSP90B1	56	57	95	94
0Safe_safe_ACOC_204550.4590__IGF1R_1	0Safe_safe_ACOC__IGF1R	165	168	195	224
0Safe_safe_ACOC_204550.4590__IGF1R_2	0Safe_safe_ACOC__IGF1R	171	198	264	299
0Safe_safe_ACOC_204550.4590__IGF1R_3	0Safe_safe_ACOC__IGF1R	537	569	595	692
0Safe_safe_ACOC_204550.4590__IGF1R_4	0Safe_safe_ACOC__IGF1R	93	76	98	108
0Safe_safe_ACOC_204550.4590__MAPK13_1	0Safe_safe_ACOC__MAPK13	536	588	783	966
0Safe_safe_ACOC_204550.4590__MAPK13_2	0Safe_safe_ACOC__MAPK13	194	194	233	294
0Safe_safe_ACOC_204550.4590__MAPK13_3	0Safe_safe_ACOC__MAPK13	283	269	452	539
0Safe_safe_ACOC_204550.4590__MAPK13_4	0Safe_safe_ACOC__MAPK13	150	124	188	202
0Safe_safe_ACOC_204550.4590__TRIB2_1	0Safe_safe_ACOC__TRIB2	182	139	232	281
0Safe_safe_ACOC_204550.4590__TRIB2_2	0Safe_safe_ACOC__TRIB2	141	125	195	254
0Safe_safe_ACOC_204550.4590__TRIB2_3	0Safe_safe_ACOC__TRIB2	258	245	423	514
0Safe_safe_ACOC_204550.4590__TRIB2_4	0Safe_safe_ACOC__TRIB2	159	171	295	320
0Safe_safe_ACOC_204550.4590__ULK1_1	0Safe_safe_ACOC__ULK1	82	101	106	145
0Safe_safe_ACOC_204550.4590__ULK1_2	0Safe_safe_ACOC__ULK1	183	148	187	266
0Safe_safe_ACOC_204550.4590__ULK1_3	0Safe_safe_ACOC__ULK1	128	117	128	189
0Safe_safe_ACOC_204550.4590__ULK1_4	0Safe_safe_ACOC__ULK1	234	226	322	411
0Safe_safe_ACOC_204550.4590__WNT5A_1	0Safe_safe_ACOC__WNT5A	263	249	326	434
0Safe_safe_ACOC_204550.4590__WNT5A_2	0Safe_safe_ACOC__WNT5A	240	250	399	481
0Safe_safe_ACOC_204550.4590__WNT5A_3	0Safe_safe_ACOC__WNT5A	164	171	243	296
0Safe_safe_ACOC_204550.4590__WNT5A_4	0Safe_safe_ACOC__WNT5A	211	203	297	402
0Safe_safe_GE_204550.1561__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__0Safe_safe_GE	48	53	75	94
0Safe_safe_GE_204550.1561__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__0Safe_safe_GE	133	126	193	229
0Safe_safe_GE_204550.1561__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__0Safe_safe_GE	213	184	336	374
0Safe_safe_GE_204550.1561__0Safe_safe_GE_204550.1561	0Safe_safe_GE__0Safe_safe_GE	81	74	116	128
0Safe_safe_GE_204550.1561__0Safe_safe_GE_204550.1743	0Safe_safe_GE__0Safe_safe_GE	85	99	172	172
0Safe_safe_GE_204550.1561__0Safe_safe_GE_204550.1816	0Safe_safe_GE__0Safe_safe_GE	41	43	71	86
0Safe_safe_GE_204550.1561__0Safe_safe_MP_204550.1197	0Safe_safe_GE__0Safe_safe_MP	55	62	96	110
0Safe_safe_GE_204550.1561__0Safe_safe_MP_204550.1296	0Safe_safe_GE__0Safe_safe_MP	43	41	62	70
0Safe_safe_GE_204550.1561__0Safe_safe_MP_204550.1323	0Safe_safe_GE__0Safe_safe_MP	141	138	275	343
0Safe_safe_GE_204550.1561__0Safe_safe_U3_204550.6027	0Safe_safe_GE__0Safe_safe_U3	44	31	55	84
0Safe_safe_GE_204550.1561__CDK2_1	0Safe_safe_GE__CDK2	180	178	194	225
0Safe_safe_GE_204550.1561__CDK2_2	0Safe_safe_GE__CDK2	109	117	148	149
0Safe_safe_GE_204550.1561__CDK2_3	0Safe_safe_GE__CDK2	127	99	167	180
0Safe_safe_GE_204550.1561__CDK2_4	0Safe_safe_GE__CDK2	231	233	332	352
0Safe_safe_GE_204550.1561__CTNNB1_1	0Safe_safe_GE__CTNNB1	74	70	154	157
0Safe_safe_GE_204550.1561__CTNNB1_2	0Safe_safe_GE__CTNNB1	80	77	112	173
0Safe_safe_GE_204550.1561__CTNNB1_3	0Safe_safe_GE__CTNNB1	97	86	159	215
0Safe_safe_GE_204550.1561__CTNNB1_4	0Safe_safe_GE__CTNNB1	140	118	230	317
0Safe_safe_GE_204550.1561__ETF1_1	0Safe_safe_GE__ETF1	85	95	49	66
0Safe_safe_GE_204550.1561__ETF1_2	0Safe_safe_GE__ETF1	100	160	83	115
0Safe_safe_GE_204550.1561__ETF1_3	0Safe_safe_GE__ETF1	50	44	52	85
0Safe_safe_GE_204550.1561__ETF1_4	0Safe_safe_GE__ETF1	78	82	156	213
0Safe_safe_GE_204550.1561__EZH2_1	0Safe_safe_GE__EZH2	90	103	138	151
0Safe_safe_GE_204550.1561__EZH2_2	0Safe_safe_GE__EZH2	122	110	221	232
0Safe_safe_GE_204550.1561__EZH2_3	0Safe_safe_GE__EZH2	148	149	223	275
