construct_id	T0_1	T0_2	Tend_1	Tend_2
0Safe_safe_MP_204550.1296__ETF1_3	26	26	44	46
0Safe_safe_MP_204550.1296__ETF1_4	68	63	105	135
0Safe_safe_MP_204550.1296__EZH2_1	59	56	95	110
0Safe_safe_MP_204550.1296__EZH2_2	68	65	145	136
0Safe_safe_MP_204550.1296__EZH2_3	89	76	170	208
0Safe_safe_MP_204550.1296__EZH2_4	82	81	123	168
0Safe_safe_MP_204550.1296__HSP90B1_1	99	82	132	142
0Safe_safe_MP_204550.1296__HSP90B1_2	102	118	152	181
0Safe_safe_MP_204550.1296__HSP90B1_3	58	64	95	132
0Safe_safe_MP_204550.1296__HSP90B1_4	23	34	50	61
0Safe_safe_MP_204550.1296__IGF1R_1	71	79	106	117
0Safe_safe_MP_204550.1296__IGF1R_2	80	83	136	148
0Safe_safe_MP_204550.1296__IGF1R_3	197	245	295	344
0Safe_safe_MP_204550.1296__IGF1R_4	29	42	44	57
0Safe_safe_MP_204550.1296__MAPK13_1	266	275	412	501
0Safe_safe_MP_204550.1296__MAPK13_2	76	67	139	156
0Safe_safe_MP_204550.1296__MAPK13_3	131	123	197	273
0Safe_safe_MP_204550.1296__MAPK13_4	67	55	105	122
0Safe_safe_MP_204550.1296__TRIB2_1	84	64	135	155
